datetime_utc,cluster,load_kwh
2012-01-01T00:00:00Z,1,2.8855556222222223
2012-01-01T00:00:00Z,2,0.4604281150159744
2012-01-01T01:00:00Z,1,4.412666644444444
2012-01-01T01:00:00Z,2,0.41487220447284345
2012-01-01T02:00:00Z,1,3.2441111
2012-01-01T02:00:00Z,2,0.3588402552715655
2012-01-01T03:00:00Z,1,2.358333311111111
2012-01-01T03:00:00Z,2,0.3102811504792332
2012-01-01T04:00:00Z,1,1.4807777777777777
2012-01-01T04:00:00Z,2,0.24868051118210863
2012-01-01T05:00:00Z,1,1.5358888777777777
2012-01-01T05:00:00Z,2,0.2501118207667732
2012-01-01T06:00:00Z,1,1.515777777777778
2012-01-01T06:00:00Z,2,0.2748530354632588
2012-01-01T07:00:00Z,1,0.8255555555555556
2012-01-01T07:00:00Z,2,0.318354631629393
2012-01-01T08:00:00Z,1,0.5444444444444445
2012-01-01T08:00:00Z,2,0.3144313102236422
2012-01-01T09:00:00Z,1,0.6656666777777778
2012-01-01T09:00:00Z,2,0.3881469642172524
2012-01-01T10:00:00Z,1,0.6365555555555555
2012-01-01T10:00:00Z,2,0.41906070255591055
2012-01-01T11:00:00Z,1,0.6214444444444445
2012-01-01T11:00:00Z,2,0.5124089447284345
2012-01-01T12:00:00Z,1,0.6826666666666666
2012-01-01T12:00:00Z,2,0.545150159744409
2012-01-01T13:00:00Z,1,0.3922222222222222
2012-01-01T13:00:00Z,2,0.5656038335463259
2012-01-01T14:00:00Z,1,0.7678889
2012-01-01T14:00:00Z,2,0.6462939290734824
2012-01-01T15:00:00Z,1,0.745
2012-01-01T15:00:00Z,2,0.6959776338658147
2012-01-01T16:00:00Z,1,0.7630000111111112
2012-01-01T16:00:00Z,2,0.6809616616613419
2012-01-01T17:00:00Z,1,1.0157777777777777
2012-01-01T17:00:00Z,2,0.7316900958466453
2012-01-01T18:00:00Z,1,0.7096666666666667
2012-01-01T18:00:00Z,2,0.726418531629393
2012-01-01T19:00:00Z,1,0.676
2012-01-01T19:00:00Z,2,0.7133865821086262
2012-01-01T20:00:00Z,1,0.8368888888888889
2012-01-01T20:00:00Z,2,0.7033769971246007
2012-01-01T21:00:00Z,1,0.7014444444444444
2012-01-01T21:00:00Z,2,0.6607635776357828
2012-01-01T22:00:00Z,1,0.6252222222222222
2012-01-01T22:00:00Z,2,0.6174632587859424
2012-01-01T23:00:00Z,1,0.5823333333333334
2012-01-01T23:00:00Z,2,0.5150127801916933
2012-01-02T00:00:00Z,1,2.428777811111111
2012-01-02T00:00:00Z,2,0.44376038306709265
2012-01-02T01:00:00Z,1,3.627333344444444
2012-01-02T01:00:00Z,2,0.37341214025559105
2012-01-02T02:00:00Z,1,3.0659999777777776
2012-01-02T02:00:00Z,2,0.290674121086262
2012-01-02T03:00:00Z,1,2.018777788888889
2012-01-02T03:00:00Z,2,0.2708019166134185
2012-01-02T04:00:00Z,1,1.5635555444444444
2012-01-02T04:00:00Z,2,0.2424377
2012-01-02T05:00:00Z,1,1.4623333444444444
2012-01-02T05:00:00Z,2,0.2550191696485623
2012-01-02T06:00:00Z,1,1.5736666666666668
2012-01-02T06:00:00Z,2,0.28157188466453675
2012-01-02T07:00:00Z,1,0.863
2012-01-02T07:00:00Z,2,0.3249680514376997
2012-01-02T08:00:00Z,1,0.5953333333333333
2012-01-02T08:00:00Z,2,0.35177316325878594
2012-01-02T09:00:00Z,1,0.6621111111111111
2012-01-02T09:00:00Z,2,0.44922364185303515
2012-01-02T10:00:00Z,1,0.7473333333333334
2012-01-02T10:00:00Z,2,0.5067220453674122
2012-01-02T11:00:00Z,1,0.5526666666666668
2012-01-02T11:00:00Z,2,0.5588658143769968
