datetime_utc,cluster,load_kwh
2012-01-01T00:00:00Z,1,0.6743076923076923
2012-01-01T00:00:00Z,2,0.4022
2012-01-01T01:00:00Z,1,0.6086153846153847
2012-01-01T01:00:00Z,2,0.3524000025
2012-01-01T02:00:00Z,1,0.4596923076923077
2012-01-01T02:00:00Z,2,0.32489999999999997
2012-01-01T03:00:00Z,1,0.43238461538461537
2012-01-01T03:00:00Z,2,0.3324499975
2012-01-01T04:00:00Z,1,0.40492307692307694
2012-01-01T04:00:00Z,2,0.273025
2012-01-01T05:00:00Z,1,0.37953846153846155
2012-01-01T05:00:00Z,2,0.204175
2012-01-01T06:00:00Z,1,0.3736923076923077
2012-01-01T06:00:00Z,2,0.191225
2012-01-01T07:00:00Z,1,0.36130769230769233
2012-01-01T07:00:00Z,2,0.239175
2012-01-01T08:00:00Z,1,0.43738461538461537
2012-01-01T08:00:00Z,2,0.35435
2012-01-01T09:00:00Z,1,0.4024615384615385
2012-01-01T09:00:00Z,2,0.37765
2012-01-01T10:00:00Z,1,0.5166923076923077
2012-01-01T10:00:00Z,2,0.4944
2012-01-01T11:00:00Z,1,0.6000769230769231
2012-01-01T11:00:00Z,2,0.598475
2012-01-01T12:00:00Z,1,0.47146153846153843
2012-01-01T12:00:00Z,2,0.5417
2012-01-01T13:00:00Z,1,0.5267692307692308
2012-01-01T13:00:00Z,2,0.6311999975
2012-01-01T14:00:00Z,1,0.6566153923076923
2012-01-01T14:00:00Z,2,0.7216499974999999
2012-01-01T15:00:00Z,1,0.6886923076923077
2012-01-01T15:00:00Z,2,0.6204250025
2012-01-01T16:00:00Z,1,0.7163076923076923
2012-01-01T16:00:00Z,2,0.770175
2012-01-01T17:00:00Z,1,0.6897692307692308
2012-01-01T17:00:00Z,2,0.791299995
2012-01-01T18:00:00Z,1,0.797923076923077
2012-01-01T18:00:00Z,2,0.75225
2012-01-01T19:00:00Z,1,0.8193846153846154
2012-01-01T19:00:00Z,2,0.760375
2012-01-01T20:00:00Z,1,0.7424615461538462
2012-01-01T20:00:00Z,2,0.6743999975
2012-01-01T21:00:00Z,1,0.7967692307692308
2012-01-01T21:00:00Z,2,0.6769000000000001
2012-01-01T22:00:00Z,1,0.8420769076923077
2012-01-01T22:00:00Z,2,0.6151000025
2012-01-01T23:00:00Z,1,0.6848461538461539
2012-01-01T23:00:00Z,2,0.4598999975
2012-01-02T00:00:00Z,1,0.5665384615384615
2012-01-02T00:00:00Z,2,0.410575
2012-01-02T01:00:00Z,1,0.6287692307692307
2012-01-02T01:00:00Z,2,0.289175
2012-01-02T02:00:00Z,1,0.48461537692307693
2012-01-02T02:00:00Z,2,0.2969
2012-01-02T03:00:00Z,1,0.35984615384615387
2012-01-02T03:00:00Z,2,0.2086
2012-01-02T04:00:00Z,1,0.396
2012-01-02T04:00:00Z,2,0.1886
2012-01-02T05:00:00Z,1,0.48700000000000004
2012-01-02T05:00:00Z,2,0.18855
2012-01-02T06:00:00Z,1,0.39892307692307694
2012-01-02T06:00:00Z,2,0.23295
2012-01-02T07:00:00Z,1,0.4146153846153846
2012-01-02T07:00:00Z,2,0.25485
2012-01-02T08:00:00Z,1,0.5788461538461539
2012-01-02T08:00:00Z,2,0.42945
2012-01-02T09:00:00Z,1,0.46084615384615385
2012-01-02T09:00:00Z,2,0.48805
2012-01-02T10:00:00Z,1,0.45715384615384613
